episode,reward
1,-5.540055
2,-17.240322
3,-8.080112
4,-3.7500138
5,-103.86399
6,-4.850039
7,-2.4699972
8,-5.1800466
9,-11.800198
10,-1.6899979
11,-10.350164
12,-1.609998
13,-0.8699986
14,-0.6199988
15,-1.539998
16,-0.69999874
17,-1.7899978
18,-2.3399973
19,-2.3999972
20,-1.619998
21,0.15000051
22,-1.8299978
23,-0.8399986
24,0.09000057
25,-0.9399985
26,6.556511e-07
27,-0.08999932
28,-0.019999385
29,-0.019999385
30,-0.23999918
31,-0.97999847
32,-0.78999865
33,0.29000038
34,-0.46999896
35,-0.2099992
36,-0.15999925
37,0.5500002
38,-0.08999932
39,0.19000047
40,0.020000637
41,0.20000046
42,0.1600005
43,0.20000046
44,0.21000046
45,0.18000048
46,-0.56999886
47,-0.039999366
48,-0.419999
49,0.2700004
50,-0.08999932
51,-0.029999375
52,0.020000637
53,0.2600004
54,0.32000035
55,0.40000027
56,-0.9199985
57,-0.58999884
58,0.22000045
59,0.2600004
60,0.30000037
61,-0.11999929
62,0.10000056
63,-0.22999918
64,-0.55999887
65,0.2800004
66,0.31000036
67,-0.37999904
68,-0.07999933
69,0.5200002
70,0.20000046
71,0.3800003
72,0.24000043
73,-0.059999347
74,0.46000022
75,0.44000024
76,0.4800002
77,0.23000044
78,-0.12999928
79,0.23000044
80,-0.1099993
81,0.2700004
82,0.2700004
83,0.10000056
84,0.34000033
85,0.10000056
86,-0.22999918
87,0.43000025
88,0.19000047
89,0.07000059
90,0.19000047
91,0.46000022
92,0.31000036
93,-0.009999394
94,-0.6299988
95,0.13000053
96,0.40000027
97,0.22000045
98,0.14000052
99,0.14000052
100,0.32000035
101,0.41000026
102,0.18000048
103,0.010000646
104,0.44000024
105,0.50000024
106,0.46000022
107,0.1600005
108,0.3700003
109,0.23000044
110,-0.11999929
111,0.12000054
112,0.1600005
113,0.39000028
114,0.5600002
115,0.5200002
116,0.23000044
117,0.2800004
118,0.2600004
119,0.1700005
120,0.19000047
121,0.11000055
122,0.3600003
123,0.61000013
124,0.4900002
125,0.44000024
126,0.2800004
127,0.4800002
128,0.08000058
129,0.5400002
130,0.12000054
131,0.5700002
132,0.15000051
133,0.2600004
134,0.5300002
135,0.46000022
136,0.5400002
137,-0.16999924
138,0.30000037
139,-0.059999347
140,0.22000045
141,0.30000037
142,0.3600003
143,0.15000051
144,0.14000052
145,0.1600005
146,0.2700004
147,0.41000026
148,0.5200002
149,0.12000054
150,0.41000026
151,0.10000056
152,0.44000024
153,0.5700002
154,0.3700003
155,-0.11999929
156,0.5300002
157,0.60000014
158,-0.23999918
159,0.32000035
160,0.31000036
161,0.31000036
162,0.43000025
163,0.22000045
164,0.34000033
165,-0.029999375
166,0.23000044
167,0.5700002
168,0.23000044
169,0.50000024
170,0.46000022
171,0.39000028
172,0.34000033
173,0.3700003
174,0.3800003
175,0.25000042
176,0.21000046
177,0.09000057
178,0.4800002
179,0.25000042
180,0.3600003
181,0.30000037
182,0.58000016
183,0.4700002
184,-0.019999385
185,0.4700002
186,0.10000056
187,0.4900002
188,0.42000026
189,0.39000028
190,0.43000025
191,0.50000024
192,-0.09999931
193,0.20000046
194,0.4800002
195,0.21000046
196,0.4700002
197,0.2700004
198,0.46000022
199,0.5200002
200,0.24000043
201,0.4700002
202,0.58000016
203,0.4900002
204,-0.029999375
205,-0.3099991
206,0.5700002
207,0.29000038
208,0.2800004
209,0.45000023
210,0.4800002
211,-0.09999931
212,0.3700003
213,0.3800003
214,-0.019999385
215,0.5600002
216,0.39000028
217,0.4700002
218,0.60000014
219,0.31000036
220,0.29000038
221,0.35000032
222,0.3800003
223,0.5700002
224,0.050000608
225,0.34000033
226,0.18000048
227,0.32000035
228,0.44000024
229,0.4800002
230,0.18000048
231,0.6300001
232,0.4700002
233,0.08000058
234,-0.09999931
235,0.3800003
236,0.4800002
237,0.24000043
238,0.5400002
239,0.25000042
240,0.41000026
241,0.4800002
242,0.35000032
243,0.61000013
244,0.5500002
245,0.12000054
246,0.45000023
247,0.25000042
248,0.43000025
249,0.5500002
250,0.31000036
251,0.4700002
252,0.59000015
253,0.60000014
254,0.3800003
255,0.46000022
256,0.40000027
257,0.31000036
258,0.41000026
259,0.4900002
260,0.58000016
261,0.3700003
262,0.46000022
263,0.4800002
264,0.5400002
265,0.70000005
266,0.44000024
267,0.3800003
268,0.40000027
269,0.58000016
270,0.5200002
271,0.70000005
272,0.60000014
273,0.32000035
274,-0.07999933
275,0.59000015
276,0.5100002
277,0.5600002
278,0.60000014
279,0.39000028
280,0.33000034
281,0.60000014
282,0.6200001
283,0.6700001
284,0.60000014
285,0.4900002
286,0.5500002
287,0.34000033
288,0.09000057
289,0.5500002
290,0.5400002
291,0.35000032
292,0.2800004
293,0.60000014
294,0.68000007
295,0.68000007
296,0.5700002
